"Id","Website Id","Destination Country Id","Zip Code"
"897","1","IN","180019"
"898","1","IN","180020"
"899","1","IN","181008"
"900","1","IN","181101"
"901","1","IN","181102"
"902","1","IN","181103"
"903","1","IN","181104"
"904","1","IN","181111"
"905","1","IN","181112"
"906","1","IN","181121"
"907","1","IN","181123"
"908","1","IN","181124"
"909","1","IN","181132"
"910","1","IN","181133"
"911","1","IN","181134"
"912","1","IN","181145"
"913","1","IN","181152"
"914","1","IN","181205"
"915","1","IN","181206"
"916","1","IN","181207"
"917","1","IN","182101"
"918","1","IN","182121"
"919","1","IN","182301"
"920","1","IN","182311"
"921","1","IN","182312"
"922","1","IN","184101"
"923","1","IN","184102"
"924","1","IN","184103"
"925","1","IN","184104"
"926","1","IN","184142"
"927","1","IN","184143"
"928","1","IN","184144"
"929","1","IN","184148"
"930","1","IN","184151"
"931","1","IN","184152"
"932","1","IN","190001"
"933","1","IN","190002"
"934","1","IN","190003"
"935","1","IN","190004"
"936","1","IN","190005"
"937","1","IN","190006"
"938","1","IN","190007"
"939","1","IN","190008"
"940","1","IN","190009"
"941","1","IN","190010"
"942","1","IN","190011"
"943","1","IN","190012"
"944","1","IN","190013"
"945","1","IN","190014"
"946","1","IN","190015"
"947","1","IN","190016"
"948","1","IN","190017"
"949","1","IN","190018"
"950","1","IN","190019"
"951","1","IN","190020"
"952","1","IN","190021"
"953","1","IN","190023"
"954","1","IN","191111"
"955","1","IN","191131"
"956","1","IN","191201"
"957","1","IN","191202"
"958","1","IN","192101"
"959","1","IN","192102"
"960","1","IN","192231"
"961","1","IN","192232"
"962","1","IN","192301"
"963","1","IN","192303"
"964","1","IN","193101"
"965","1","IN","193102"
"966","1","IN","193201"
"967","1","IN","201000"
"968","1","IN","201001"
"969","1","IN","201002"
"970","1","IN","201003"
"971","1","IN","201004"
"972","1","IN","201005"
"973","1","IN","201006"
"974","1","IN","201007"
"975","1","IN","201008"
"976","1","IN","201009"
"977","1","IN","201010"
"978","1","IN","201011"
"979","1","IN","201012"
"980","1","IN","201013"
"981","1","IN","201014"
"982","1","IN","201102"
"983","1","IN","201201"
"984","1","IN","201204"
"985","1","IN","201206"
"986","1","IN","201300"
"987","1","IN","201301"
"988","1","IN","201302"
"989","1","IN","201303"
"990","1","IN","201304"
"991","1","IN","201305"
"992","1","IN","201306"
"993","1","IN","201307"
"994","1","IN","201308"
"995","1","IN","201309"
"996","1","IN","201310"
"997","1","IN","201311"
"998","1","IN","202001"
"999","1","IN","202002"
"1000","1","IN","202121"
"1001","1","IN","202122"
"1002","1","IN","202123"
"1003","1","IN","202124"
"1004","1","IN","202125"
"1005","1","IN","202126"
"1006","1","IN","202127"
"1007","1","IN","202128"
"1008","1","IN","202136"
"1009","1","IN","202138"
"1010","1","IN","202140"
"1011","1","IN","202141"
"1012","1","IN","202142"
"1013","1","IN","202150"
"1014","1","IN","202280"
"1015","1","IN","202282"
"1016","1","IN","203201"
"1017","1","IN","203202"
"1018","1","IN","203207"
"1019","1","IN","204101"
"1020","1","IN","204102"
"1021","1","IN","204105"
"1022","1","IN","204216"
"1023","1","IN","208001"
"1024","1","IN","208002"
"1025","1","IN","208003"
"1026","1","IN","208004"
"1027","1","IN","208005"
"1028","1","IN","208006"
"1029","1","IN","208007"
"1030","1","IN","208008"
"1031","1","IN","208009"
"1032","1","IN","208010"
"1033","1","IN","208011"
"1034","1","IN","208012"
"1035","1","IN","208013"
"1036","1","IN","208014"
"1037","1","IN","208015"
"1038","1","IN","208016"
"1039","1","IN","208017"
"1040","1","IN","208018"
"1041","1","IN","208019"
"1042","1","IN","208020"
"1043","1","IN","208021"
"1044","1","IN","208022"
"1045","1","IN","208023"
"1046","1","IN","208024"
"1047","1","IN","208025"
"1048","1","IN","208026"
"1049","1","IN","208027"
"1050","1","IN","209214"
"1051","1","IN","209217"
"1052","1","IN","209801"
"1053","1","IN","209831"
"1054","1","IN","209859"
"1055","1","IN","209861"
"1056","1","IN","209862"
"1057","1","IN","210000"
"1058","1","IN","210010"
"1059","1","IN","211001"
"1060","1","IN","211002"
"1061","1","IN","211003"
"1062","1","IN","211004"
"1063","1","IN","211005"
"1064","1","IN","211006"
"1065","1","IN","211007"
"1066","1","IN","211008"
"1067","1","IN","211009"
"1068","1","IN","211010"
"1069","1","IN","211011"
"1070","1","IN","211012"
"1071","1","IN","211013"
"1072","1","IN","211014"
"1073","1","IN","211015"
"1074","1","IN","211016"
"1075","1","IN","211017"
"1076","1","IN","211018"
"1077","1","IN","211019"
"1078","1","IN","212105"
"1079","1","IN","212203"
"1080","1","IN","212212"
"1081","1","IN","221001"
"1082","1","IN","221002"
"1083","1","IN","221003"
"1084","1","IN","221004"
"1085","1","IN","221005"
"1086","1","IN","221006"
"1087","1","IN","221007"
"1088","1","IN","221008"
"1089","1","IN","221010"
"1090","1","IN","221011"
"1091","1","IN","221102"
"1092","1","IN","221103"
"1093","1","IN","221104"
"1094","1","IN","221105"
"1095","1","IN","221106"
"1096","1","IN","221107"
"1097","1","IN","221108"
"1098","1","IN","221109"
"1099","1","IN","221202"
"1100","1","IN","221210"
"1101","1","IN","221302"
"1102","1","IN","221506"
"1103","1","IN","222001"
"1104","1","IN","222002"
"1105","1","IN","225001"
"1106","1","IN","225002"
"1107","1","IN","225003"
"1108","1","IN","225122"
"1109","1","IN","226001"
"1110","1","IN","226002"
"1111","1","IN","226003"
"1112","1","IN","226004"
"1113","1","IN","226005"
"1114","1","IN","226006"
"1115","1","IN","226007"
"1116","1","IN","226008"
"1117","1","IN","226009"
"1118","1","IN","226010"
"1119","1","IN","226011"
"1120","1","IN","226012"
"1121","1","IN","226013"
"1122","1","IN","226014"
"1123","1","IN","226015"
"1124","1","IN","226016"
"1125","1","IN","226017"
